"hsa-let-7a-5p","hsa-let-7b-5p","hsa-let-7c-5p","hsa-let-7d-3p","hsa-let-7d-5p","hsa-let-7e-5p","hsa-let-7f-5p","hsa-let-7g-5p","hsa-let-7i-5p","hsa-miR-101-3p","hsa-miR-103a-3p","hsa-miR-106a-5p","hsa-miR-106b-5p","hsa-miR-107","hsa-miR-10b-5p","hsa-miR-125a-5p","hsa-miR-125b-5p","hsa-miR-126-3p","hsa-miR-126-5p","hsa-miR-1260a","hsa-miR-130a-3p","hsa-miR-130b-3p","hsa-miR-140-3p","hsa-miR-142-3p","hsa-miR-142-5p","hsa-miR-144-3p","hsa-miR-144-5p","hsa-miR-146a-5p","hsa-miR-146b-5p","hsa-miR-148a-3p","hsa-miR-148b-3p","hsa-miR-150-5p","hsa-miR-151a-3p","hsa-miR-151a-5p","hsa-miR-15a-5p","hsa-miR-15b-3p","hsa-miR-15b-5p","hsa-miR-16-2-3p","hsa-miR-16-5p","hsa-miR-17-5p","hsa-miR-181a-5p","hsa-miR-185-5p","hsa-miR-18a-5p","hsa-miR-18b-5p","hsa-miR-191-5p","hsa-miR-192-5p","hsa-miR-194-5p","hsa-miR-199a-3p","hsa-miR-199a-5p","hsa-miR-19a-3p","hsa-miR-19b-3p","hsa-miR-20a-5p","hsa-miR-21-5p","hsa-miR-2110","hsa-miR-215-5p","hsa-miR-22-3p","hsa-miR-221-3p","hsa-miR-222-3p","hsa-miR-223-3p","hsa-miR-23a-3p","hsa-miR-23b-3p","hsa-miR-24-3p","hsa-miR-25-3p","hsa-miR-26a-5p","hsa-miR-26b-5p","hsa-miR-27a-3p","hsa-miR-27b-3p","hsa-miR-29a-3p","hsa-miR-29b-3p","hsa-miR-29c-3p","hsa-miR-30a-5p","hsa-miR-30b-5p","hsa-miR-30c-5p","hsa-miR-30d-5p","hsa-miR-30e-5p","hsa-miR-32-5p","hsa-miR-320a","hsa-miR-320b","hsa-miR-320c","hsa-miR-320d","hsa-miR-324-3p","hsa-miR-331-3p","hsa-miR-339-5p","hsa-miR-342-3p","hsa-miR-361-5p","hsa-miR-363-3p","hsa-miR-374a-5p","hsa-miR-374b-5p","hsa-miR-376a-3p","hsa-miR-376c-3p","hsa-miR-423-3p","hsa-miR-423-5p","hsa-miR-424-5p","hsa-miR-425-5p","hsa-miR-451a","hsa-miR-483-5p","hsa-miR-484","hsa-miR-486-5p","hsa-miR-495-3p","hsa-miR-584-5p","hsa-miR-590-5p","hsa-miR-660-5p","hsa-miR-92a-3p","hsa-miR-93-5p","hsa-miR-99a-5p","hsa-miR-99b-5p","mmu-miR-378a-3p","UniSp2","UniSp3 IPC","UniSp4","UniSp5","UniSp6"
"GSM3464496",0.633,0.245,0.033,0.334,0.054,0.074,0.235,0.651,0.279,1.292,0.979,1.79,0.429,0.174,0,0.063,0.026,2.25,0.252,0.117,0.069,0.009,0.473,1.892,0.152,2.751,0.17,0.085,0.003,0.029,0.451,0.27,0.041,0.168,8.456,0.49,0.444,0.306,66.257,0.014,0.04,2.888,0.173,0.154,1.021,0.241,0.036,0.129,0.131,6.774,9.254,1.165,3.34,0.004,0.124,0.306,0.289,0.068,18.765,2.621,0.423,1.376,3.655,0.225,0.089,0.241,0.454,0.043,0.033,0.15,0.001,0.697,0.611,0.486,0.655,0.173,0.986,0.232,0.107,0.039,0.045,0.015,0.038,0.073,0.119,0.415,0.033,0.076,0.01,0.075,0.233,0.543,0.555,0.301,85.036,0.007,0.27,3.387,0.03,0.007,0.255,0.316,7.362,0.959,0.001,0.044,0.096,NA,NA,NA,NA,NA
"GSM3464497",0.868,0.177,0.043,0.221,0.091,0.05,0.309,0.549,0.189,0.724,1.608,1.39,0.292,0.269,0.001,0.069,0.017,2.387,0.188,0.076,0.047,0.012,0.175,4.302,0.333,1.145,0.116,0.209,0.01,0.276,0.402,0.135,0.108,0.41,2.704,0.097,0.228,0.078,25.194,0.013,0.094,1.664,0.267,0.161,0.622,0.081,0.028,0.207,0.157,3.26,4.547,1.27,3.399,0.01,0.028,0.158,0.719,0.175,34.178,3.306,1.091,2.258,1.169,0.294,0.105,0.584,0.809,0.045,0.046,0.073,0.013,0.657,0.714,0.553,0.622,0.097,0.605,0.17,0.074,0.028,0.025,0.029,0.111,0.033,0.147,0.076,0.041,0.077,0.022,0.087,0.29,0.265,0.133,0.333,39.533,0.004,0.282,0.862,0.013,0.008,0.204,0.138,1.759,0.755,0.012,0.065,0.035,NA,NA,NA,NA,NA
"GSM3464498",1.597,0.258,0.06,0.452,0.12,0,0.471,0.99,0.34,2.181,1.772,3.215,0.892,0.34,0.022,0.028,0.088,3.931,0.422,0.125,0.059,0.034,0.254,5.296,0.305,5.333,0.488,0.198,0.028,0.251,0.53,0.832,0.145,0.305,7.917,0.455,0.639,0.273,54.758,0.006,0.042,4.362,0.826,0.399,0.564,0.067,0.101,0.117,0.122,8.311,10.091,2.338,6.342,0.006,0.104,0.305,0.498,0.318,36.378,4.272,0.923,3.446,2.42,0.311,0.269,0.553,0.868,0.055,0.107,0.258,0.003,0.923,1.361,0.983,0.904,0.212,1.288,0.3,0.078,0.066,0.081,0.037,0.037,0.057,0.195,0.292,0.071,0.113,0,0.014,0.198,0.644,0.516,0.437,68.832,0.052,0.523,1.809,0.032,0.014,0.495,0.568,5.56,1.306,0.032,0.009,0.137,NA,NA,NA,NA,NA
"GSM3464499",1.899,0.898,0.1,0.609,0.044,0.005,0.298,1.145,1.218,4.908,1.39,2.918,1.113,0.184,0,0.065,0.025,2.196,0.188,0.478,0.13,0.03,0.983,2.979,0.166,9.68,1.261,0.131,0.009,0.399,0.58,1.821,0.02,0.237,31.45,0.313,0.657,1.01,152.747,0.111,0.078,8.028,0.365,0.29,0.719,0.613,0.265,0.055,0.068,16.507,18.7,1.032,5.296,0.121,0.176,1.279,0.311,0.976,8.724,1.479,0.553,0.983,8.604,0.244,0.153,0.236,0.194,0.111,0.069,0.631,0.01,0.639,0.766,0.755,1.046,0.512,6.255,2.035,0.705,0.294,0,0.084,0.066,0.231,0.181,1.772,0.085,0.063,0.005,0.005,0.246,3.643,0.949,1.253,226.756,0.042,0.662,9.613,0.002,0.004,1.032,0.584,22.085,3.127,0.08,0.008,0.613,NA,NA,NA,NA,NA
"GSM3464500",1.454,0.514,0.091,0.39,0.069,0.039,0.514,0.877,0.27,2.657,2.395,2.809,1.042,0.356,0.036,0.02,0.065,3.364,0.259,0.418,0.086,0.019,0.54,5.464,0.382,5.315,0.702,0.14,0.012,0.308,0.722,0.376,0.106,0.507,8.754,0.525,0.785,0.293,54.192,0.042,0.055,4.17,0.536,0.514,0.418,0.316,0.096,0.167,0.067,8.815,11.236,2.395,5.579,0.003,0.106,0.266,0.344,0.379,28.443,4.891,1.157,2.479,2.928,0.216,0.18,0.624,0.871,0.064,0.074,0.134,0.021,1.165,1.505,0.712,1.301,0.308,1.376,0.266,0.109,0.068,0.057,0.063,0.139,0.053,0.27,0.339,0.108,0.073,0.013,0.099,0.521,0.66,1.376,0.316,73.517,0.011,0.521,2.868,0,0.005,0.551,0.295,5.618,1.682,0.035,0.013,0.113,NA,NA,NA,NA,NA
"GSM3464501",1.439,0.549,0.053,0.399,0.102,0.01,0.34,1.075,0.648,4.611,1.641,3.283,0.826,0.231,0.012,0.042,0.052,0.054,2.685,0.273,0.102,0.017,1.106,3.352,0.154,9.35,0.809,0.068,0.006,0.229,0.73,0.094,0.16,0.329,11.275,0.538,0.648,0.396,139.585,0.023,0.043,9.286,0.437,0.416,0.609,0.396,0.214,0.075,0.021,13.041,19.093,3.238,0.086,0.236,6.042,0.338,17.939,0.017,0.44,2.685,0.561,1.553,6.431,0.175,0.205,0.35,0.431,0.105,0.08,0.343,0.009,1.106,0.676,0.622,1.297,2.227,0.667,0.205,0.07,0.038,0.035,0.075,0.068,0.018,0.158,0.886,0.068,0.049,0,0.012,0.53,0.838,0.391,0.405,176.681,0.003,1.091,7.235,0,0.009,0.776,1.106,11.511,1.847,0.042,0.05,0.214,NA,NA,NA,NA,NA
"GSM3464502",1.558,0.441,0.038,0.536,0.081,0.049,0.321,0.779,0.379,3.506,1.972,2.085,0.46,0.166,0.013,0.029,0.015,0.203,4.691,0.448,0.051,0.025,0.5,4.199,0.285,5.502,0.403,0.243,0.006,0.321,0.54,0.248,0.146,0.683,9.714,0.547,0.395,0.314,128.89,0.031,0.074,7.568,0.543,0.295,0.507,0.243,0.079,0.16,0.158,12.467,15.455,3.053,0.107,0.068,6.277,0.543,35.017,0.03,0.275,4.823,1.548,3.758,6.498,0.228,0.237,0.763,0.847,0.075,0.079,0.16,0.005,0.847,0.768,1.057,1.214,1.84,0.507,0.12,0.071,0.062,0.049,0.029,0.062,0.044,0.207,0.409,0.064,0.108,0.007,0.037,0.418,0.574,0.486,0.339,114.563,0.006,0.829,6.364,0.007,0.026,0.642,0.651,8.515,2.479,0.014,0.017,0.13,NA,NA,NA,NA,NA
"GSM3464503",1.444,0.463,0.062,0.418,0.086,0.012,0.401,0.859,0.199,1.223,1.815,2.189,0.486,0.188,0.018,0.025,0.032,3.095,0.253,0.142,0.057,0.017,0.135,3.34,0.227,2.235,0.693,0.199,0.003,0.122,0.423,0.237,0.131,0.238,5.502,0.225,0.398,0.104,27.665,0.008,0.028,3.317,0.454,0.31,0.551,0.143,0.057,0.123,0.118,4.317,4.925,1.753,3.227,0.004,0.121,0.198,0.454,0.138,24.761,4.056,0.92,2.514,2.266,0.24,0.15,0.454,0.607,0.032,0.047,0.09,0.016,0.702,0.807,0.454,0.566,0.036,0.94,0.219,0.069,0.024,0.03,0.029,0.061,0.058,0.196,0.138,0.075,0.067,0.015,0.067,0.42,0.358,0.237,0.204,27.474,0.019,0.277,2.848,0.003,0.009,0.435,0.344,3.138,1.454,0.023,0.008,0.084,NA,NA,NA,NA,NA
"GSM3464504",2.25,0.559,0.112,0.993,0.165,0.037,0.503,1.301,0.953,4,1.705,2.676,0.959,0.409,0,0.044,0.059,2.514,0.245,0.227,0.079,0.027,0.655,2.848,0.225,9.383,1.141,0.126,0.001,0.342,0.707,0.444,0.102,0.354,28.051,0.865,0.599,0.693,101.829,0.042,0.051,8.398,0.304,0.398,0.586,0.295,0.111,0.055,0.075,12.817,17.03,2.828,7.311,0.008,0.156,0.871,0.476,0.536,18.896,4.563,1.021,2.412,10.126,0.125,0.102,0.406,0.5,0.071,0.108,0.49,0.01,0.607,0.847,0.651,1.866,0.563,4.532,1.301,0.42,0.144,0.105,0.061,0.037,0.104,0.209,0.959,0.105,0.061,0.007,0.014,0.529,1.753,0.953,0.514,160.898,0.009,1.659,16.223,0.01,0.019,0.651,1.301,25.457,2.549,0.053,0.013,0.432,NA,NA,NA,NA,NA
